bathrooms,bedrooms,price,square_feet,category_encoded,amenities_encoded,has_photo_encoded,pets_allowed_encoded,cityname_encoded,state_encoded,source_encoded
0,0,790,101,0,2135,1,3,1467,7,9
0,1,425,106,0,2135,1,3,449,15,9
1,0,1390,107,0,2135,1,3,52,45,9
1,0,925,116,0,2135,1,3,1284,47,9
0,0,880,125,0,2135,1,3,52,45,9
1,0,2475,130,0,1585,1,3,820,34,2
0,0,1800,132,0,2135,1,3,1445,4,9
0,0,840,136,0,2135,1,3,1467,7,9
1,0,1495,138,0,2237,1,3,1246,4,9
0,0,890,141,0,2135,1,3,1467,7,9
0,0,990,146,0,2135,1,3,1467,7,9
0,0,840,150,0,2135,1,3,1467,7,9
0,1,1795,156,0,2135,1,1,1417,3,9
0,0,1090,178,0,2135,1,3,1467,7,9
1,0,1695,190,0,2237,1,3,1246,4,9
1,1,1560,200,0,35,1,1,965,27,8
1,1,1000,200,0,2135,1,3,1340,43,9
1,1,950,200,0,2135,1,3,1437,4,9
1,1,625,200,0,2227,1,3,834,10,9
1,1,600,200,0,2135,1,3,258,27,9
1,1,544,200,0,832,1,3,1384,9,9
1,1,525,200,0,2135,1,3,1573,51,9
1,1,450,200,0,2227,1,3,1099,3,9
1,1,750,215,0,2135,1,3,1194,9,9
1,1,2000,219,0,2135,1,3,721,1,9
1,1,1400,219,0,2135,1,3,1246,4,9
1,1,1095,219,0,2135,1,3,528,20,9
1,1,915,219,0,2227,1,3,774,5,9
1,1,900,219,0,2227,1,3,1459,20,9
1,1,865,219,0,2227,1,3,1194,9,9
1,1,750,219,0,2227,1,3,1573,51,9
1,1,725,219,0,2135,1,3,67,5,9
1,1,650,219,0,2135,1,3,816,45,9
1,1,650,219,0,2135,1,3,363,10,9
1,1,645,219,0,2135,1,3,1385,9,9
1,1,595,219,0,2135,1,3,13,32,9
1,1,750,220,0,2135,1,3,1573,51,9
1,0,1195,223,0,2135,1,1,1284,47,9
1,0,1150,225,0,2135,1,3,1284,47,9
1,1,942,225,0,1084,1,0,272,14,9
1,0,1250,228,0,2135,1,1,1284,47,9
1,1,800,230,0,2135,1,3,518,27,9
1,1,685,230,0,2135,1,3,1542,9,9
1,1,525,230,0,2135,1,1,864,42,9
1,0,1095,231,0,2135,1,0,1284,47,9
1,0,1695,232,0,1793,1,1,1246,4,9
0,0,990,239,0,2135,1,3,1467,7,9
1,1,775,240,0,2135,1,0,105,47,9
1,0,1299,243,0,2135,1,1,1284,47,9
1,1,705,245,0,1538,1,1,34,0,9
1,1,1800,250,0,2135,1,3,1062,4,9
1,1,1600,250,0,2227,1,3,835,4,9
1,1,1500,250,0,2135,1,3,1246,4,9
1,1,1330,250,0,2135,1,3,1365,4,9
1,1,1310,250,0,2135,1,3,927,4,9
1,1,1300,250,0,2227,1,3,1410,4,9
1,1,1295,250,0,2135,1,3,1223,4,9
1,1,1255,250,0,2227,1,3,722,4,9
1,1,1250,250,0,2135,1,3,1284,47,9
1,1,1250,250,0,2135,1,3,1002,4,9
1,1,1200,250,0,2135,1,3,369,5,9
1,1,1200,250,0,2135,1,3,67,5,9
1,1,1175,250,0,2135,1,3,162,4,9
1,1,1155,250,0,2135,1,3,1255,4,9
1,1,1150,250,0,2227,1,3,1009,20,9
1,1,1145,250,0,2227,1,3,36,19,9
1,1,1135,250,0,2135,1,3,1028,4,9
1,1,1115,250,0,2135,1,3,1253,4,9
1,0,1095,250,0,2135,1,3,272,14,9
1,1,1090,250,0,2135,1,3,15,45,9
1,1,1075,250,0,2135,1,3,272,14,9
1,1,1050,250,0,2227,1,3,1401,4,9
1,1,1050,250,0,2135,1,3,369,5,9
1,1,1045,250,0,2135,1,3,194,45,9
1,1,1025,250,0,2135,1,3,103,47,9
1,1,1025,250,0,2135,1,3,1573,51,9
1,1,1005,250,0,2135,1,3,1540,4,9
1,1,1000,250,0,2135,1,3,1556,4,9
1,1,1000,250,0,2135,1,3,882,9,9
1,1,1000,250,0,2135,1,3,643,20,9
1,1,1000,250,0,2135,1,3,1517,5,9
1,1,1000,250,0,2135,1,3,67,5,9
1,1,1000,250,0,2135,1,3,55,5,9
1,1,1000,250,0,2135,1,3,1282,4,9
1,1,975,250,0,2227,1,3,1251,4,9
1,1,965,250,0,2135,1,3,859,31,9
1,1,955,250,0,2135,1,3,528,20,9
1,1,950,250,0,2135,1,3,774,5,9
1,1,950,250,0,2135,1,3,67,5,9
1,1,930,250,0,2135,1,3,309,4,9
1,1,925,250,0,2135,1,3,721,5,9
1,1,925,250,0,2135,1,3,276,4,9
1,1,925,250,0,2227,1,3,528,20,9
1,1,915,250,0,2135,1,3,610,5,9
1,1,900,250,0,2227,1,3,741,20,9
1,1,900,250,0,2227,1,3,1050,9,9
1,1,900,250,0,2135,1,3,148,5,9
1,1,900,250,0,2135,1,3,67,5,9
1,1,900,250,0,2227,1,3,714,4,9
1,1,900,250,0,2135,1,3,33,4,9
1,1,895,250,0,2135,1,3,308,5,9
1,1,895,250,0,2135,1,3,55,5,9
1,1,875,250,0,2135,1,3,52,45,9
1,1,865,250,0,2135,1,3,953,9,9
1,1,865,250,0,2227,1,3,60,10,9
1,1,860,250,0,2227,1,3,1269,9,9
1,1,855,250,0,2135,1,3,67,5,9
1,1,850,250,0,2227,1,3,790,45,9
1,1,850,250,0,1190,1,3,484,5,9
1,1,850,250,0,2227,1,3,1553,45,9
1,1,850,250,0,2135,1,3,955,42,9
1,1,850,250,0,2135,1,3,1237,9,9
1,1,850,250,0,2135,1,3,1134,37,9
1,1,825,250,0,2135,1,3,673,20,9
1,1,805,250,0,2227,1,3,60,10,9
1,1,800,250,0,2135,1,3,181,5,9
1,1,800,250,0,2227,1,3,439,5,9
1,1,800,250,0,2135,1,3,1137,20,9
1,1,800,250,0,2135,1,3,367,9,9
1,1,800,250,0,2135,1,3,779,4,9
1,1,800,250,0,2135,1,3,661,9,9
1,1,795,250,0,2135,1,3,1080,5,9
1,1,785,250,0,2135,1,3,492,5,9
1,1,785,250,0,2135,1,3,481,5,9
1,1,760,250,0,2135,1,3,795,5,9
1,1,755,250,0,2227,1,3,788,9,9
1,1,755,250,0,2135,1,3,91,8,9
1,1,755,250,0,2135,1,3,637,38,9
1,1,750,250,0,2135,1,3,1192,4,9
1,1,750,250,0,2135,1,3,1130,9,9
1,1,750,250,0,2227,1,3,521,20,9
1,1,750,250,0,2135,1,3,258,27,9
1,1,725,250,0,2135,1,3,955,42,9
1,1,725,250,0,2135,1,3,615,10,9
1,1,720,250,0,2135,1,3,310,43,9
1,1,705,250,0,2227,1,3,634,43,9
1,1,700,250,0,2227,1,3,46,3,9
1,1,700,250,0,2227,1,3,69,43,9
1,1,700,250,0,2135,1,3,181,5,9
1,1,700,250,0,2227,1,3,1281,3,9
1,1,700,250,0,2135,1,3,1050,9,9
1,1,700,250,0,2227,1,3,76,20,9
1,1,700,250,0,2135,1,3,245,5,9
1,1,700,250,0,2135,1,3,732,5,9
1,1,700,250,0,2135,1,3,707,43,9
1,0,695,250,0,2125,1,1,239,12,9
1,1,695,250,0,2135,1,3,1370,14,9
1,1,685,250,0,2135,1,3,305,40,9
1,1,685,250,0,2227,1,3,1099,3,9
1,1,675,250,0,2135,1,3,634,43,9
1,1,675,250,0,2135,1,3,313,23,9
1,1,660,250,0,2135,1,3,1099,3,9
1,1,650,250,0,2227,1,3,76,20,9
1,1,650,250,0,2135,1,3,1238,37,9
1,1,650,250,0,2135,1,3,273,9,9
1,1,650,250,0,2135,1,3,1242,43,9
1,1,650,250,0,2227,1,3,45,42,9
1,1,645,250,0,2227,1,3,1376,40,9
1,1,645,250,0,2227,1,3,258,27,9
1,1,625,250,0,2227,1,3,1445,9,9
1,1,625,250,0,2227,1,3,1573,51,9
1,1,610,250,0,2135,1,3,1099,3,9
1,1,600,250,0,2227,1,3,1341,9,9
1,1,600,250,0,2227,1,3,1417,3,9
