bathrooms,bedrooms,price,square_feet,category_encoded,amenities_encoded,has_photo_encoded,pets_allowed_encoded,cityname_encoded,state_encoded,source_encoded
1,1,729,800,0,9523,1,1,2333,43,18
1,1,1060,650,0,8449,1,4,113,43,18
1,1,1003,797,0,8988,1,4,2283,43,18
1,1,837,444,0,7842,1,4,113,43,18
1,1,1020,692,0,7842,1,4,113,43,18
1,1,985,693,0,9351,1,4,113,43,18
1,1,1581,703,0,6622,1,4,113,43,18
1,1,1090,665,0,7842,1,4,961,43,18
1,1,962,532,0,7842,1,4,113,43,18
1,1,1722,453,0,9523,1,4,113,43,18
1,1,840,540,0,7842,1,4,2283,43,18
1,1,975,615,0,7843,1,1,2333,43,18
1,1,975,650,0,7301,1,1,2333,43,18
1,1,671,685,0,4642,1,1,1953,43,18
1,1,945,530,0,9523,1,4,2333,43,18
1,1,665,443,0,9764,1,1,1195,43,18
1,1,975,882,0,7843,1,1,2333,43,18
1,1,1103,652,0,7842,1,4,113,43,18
1,1,1032,600,0,7842,1,4,113,43,18
1,2,1729,448,0,8868,1,4,113,43,18
1,2,920,420,0,9523,1,4,113,43,18
1,1,1339,726,0,9683,1,4,427,43,18
1,1,932,725,0,9523,1,1,2035,43,18
1,1,1225,450,0,4448,1,4,535,43,18
2,3,1525,1698,0,7931,1,1,341,43,18
1,1,535,539,0,9689,1,1,1195,43,18
1,1,877,1003,0,9523,1,1,1195,43,18
1,1,1889,939,0,8177,1,1,1195,43,18
1,1,1150,580,0,9770,1,1,1195,43,18
1,1,825,550,0,9523,1,3,961,43,18
3,4,2700,2528,0,9523,1,1,961,43,18
1,1,885,660,0,9523,1,1,242,43,18
1,1,985,642,0,9523,1,1,113,43,18
1,1,825,856,0,9523,1,1,914,43,18
1,1,1155,697,0,9523,1,4,1406,43,18
1,3,1210,597,0,7000,1,4,113,43,18
1,1,1554,777,0,8803,1,4,113,43,18
1,1,1130,792,0,6999,1,4,113,43,18
1,1,1125,658,0,9814,1,4,113,43,18
1,1,1391,677,0,9523,1,1,624,43,18
1,2,1050,508,0,9523,1,4,113,43,18
1,1,2500,724,0,7287,1,1,113,43,18
1,1,2184,835,0,7287,1,1,113,43,18
1,1,2186,843,0,9523,1,1,624,43,18
1,1,930,610,0,7842,1,4,113,43,18
1,1,895,690,0,7193,1,4,2333,43,18
1,1,884,622,0,7193,1,4,2333,43,18
1,2,1050,579,0,7922,1,1,624,43,18
1,1,1417,840,0,9523,1,0,1195,43,18
1,1,1109,678,0,6166,1,1,1195,43,18
1,0,850,400,0,9523,1,1,1195,43,18
1,1,989,791,0,7842,1,4,113,43,18
1,1,1195,650,0,7842,1,4,113,43,18
1,1,1600,877,0,9313,1,4,113,43,18
1,1,1035,766,0,9363,1,4,113,43,18
1,1,972,892,0,9523,1,4,2283,43,18
1,1,1027,677,0,7842,1,4,113,43,18
1,1,1035,660,0,9523,1,4,1406,43,18
1,1,2017,671,0,7287,1,1,113,43,18
